"시도별",2011.1/2,2011.2/2,2012.1/2,2012.2/2,2013.1/2,2013.2/2,2014.1/2,2014.2/2,2015.1/2,2015.2/2,2016.1/2,2016.2/2,2017.1/2,2017.2/2,2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2
"시도별",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"계",146176,149271,152026,154023,156928,161709,163822,168126,171881,177909,180091,182104,184736,187106,189374,192244,194545,196251,195357,197420,200035,202146
"서울특별시",10549,10618,10675,10689,10837,11024,10604,10808,11041,11528,11584,11545,11546,11460,11584,11697,11688,11557,11550,11657,11651,11632
"부산광역시",8550,8732,8972,8939,9190,9538,9762,10069,10292,10693,10840,10962,10793,10669,10333,10435,10353,10378,10393,10506,10667,10729
"대구광역시",6553,6618,6816,6937,7094,7263,7372,7457,7552,7748,7912,8018,8181,8036,7931,8025,7980,8059,8013,8096,8203,8251
"인천광역시",9509,9676,9744,9680,9621,9878,9998,10453,10699,11393,11337,11278,11220,11466,11536,11690,11984,12057,12200,12199,12492,12616
"광주광역시",3176,3245,3353,3454,3456,3594,3622,3795,3905,4156,4159,4250,4366,4466,4543,4504,4542,4592,4256,4370,4435,4504
"대전광역시",2077,2138,2182,2254,2266,2348,2348,2400,2397,2474,2568,2656,2747,2828,2903,2982,3028,3136,3117,3257,3359,3469
"울산광역시",2096,2136,2203,2272,2293,2366,2389,2457,2505,2619,2668,2711,2729,2774,2820,2857,2882,2866,2839,2901,2925,2959
"세종특별자치시",-,-,-,626,658,677,690,706,716,727,737,735,766,775,781,787,799,802,787,760,762,774
"경기도",52226,53380,54213,54879,55873,57666,58693,60174,61398,63491,64061,64514,65559,66586,67571,68681,69573,70085,69413,70243,71325,72189
"강원도",2774,2841,2877,2945,3026,3160,3214,3316,3417,3522,3542,3596,3611,3680,3761,3790,3749,3807,3671,3732,3794,3846
"충청북도",5949,6024,6130,6040,6248,6601,6783,6934,7167,7369,7580,7797,8060,8283,8477,8648,8782,8957,8897,9047,9026,9132
"충청남도",7165,7569,7719,7328,7530,7816,7977,8223,8477,8731,8940,9176,9406,9700,9955,10213,10447,10663,10776,10977,11138,11321
"전라북도",4596,4709,4841,4913,4985,5165,5241,5382,5552,5761,5872,6014,6156,6284,6439,6636,6773,6921,7063,7259,7406,7477
"전라남도",5092,5151,5248,5368,5443,5532,5596,5724,5836,5973,6037,6106,6314,6428,6588,6725,6901,7036,7143,7223,7421,7520
"경상북도",10613,10852,11094,11412,11666,12076,12321,12582,12852,13180,13519,13712,13978,14181,14471,14691,14965,15107,15142,15059,15278,15437
"경상남도",14612,14928,15305,15628,16070,16324,16566,16982,17400,17865,18046,18359,18620,18824,19009,19201,19418,19542,19401,19439,19441,19573
"제주특별자치도",639,654,654,659,672,681,646,664,675,679,689,675,684,666,672,682,681,686,696,695,712,717
