,연도,시도,인구수,사용량
0,2011,강원도,18388852,14848023
1,2011,경기도,142430553,93074871
2,2011,경상남도,39590704,31549217
3,2011,경상북도,32298648,41589043
4,2011,광주광역시,17530888,7860058
5,2011,대구광역시,30122307,14479993
6,2011,대전광역시,18123509,8867404
7,2011,부산광역시,42722580,20263683
8,2011,서울특별시,123426072,47295099
9,2011,세종특별자치시,0,0
10,2011,울산광역시,13573527,26515697
11,2011,인천광역시,33375383,21827574
12,2011,전라남도,22964149,25059938
13,2011,전라북도,22454671,18949074
14,2011,제주특별자치도,6887659,3574622
15,2011,충청남도,25067084,38809315
16,2011,충청북도,18681135,19444832
17,2012,강원도,18450572,15876045
18,2012,경기도,144205042,96844519
19,2012,경상남도,39757822,33071206
20,2012,경상북도,32349396,44167300
21,2012,광주광역시,17611452,8047384
22,2012,대구광역시,30089428,14821946
23,2012,대전광역시,18260768,9059777
24,2012,부산광역시,42519321,20561973
25,2012,서울특별시,122741879,46902993
26,2012,세종특별자치시,651910,0
27,2012,울산광역시,13698967,28198241
28,2012,인천광역시,33883073,22241137
29,2012,전라남도,22922517,27136868
30,2012,전라북도,22478845,21168362
31,2012,제주특별자치도,6962824,3710080
32,2012,충청남도,24804877,42650114
33,2012,충청북도,18771547,20453353
34,2013,강원도,18477843,15904385
35,2013,경기도,146076890,100291952
36,2013,경상남도,39887156,33014944
37,2013,경상북도,32366392,44799528
38,2013,광주광역시,17665569,8130491
39,2013,대구광역시,30047509,14954959
40,2013,대전광역시,18359379,9160104
41,2013,부산광역시,42409146,20664844
42,2013,서울특별시,122095491,47234105
43,2013,세종특별자치시,1409122,578610
44,2013,울산광역시,13829803,29362726
45,2013,인천광역시,34361190,22651945
46,2013,전라남도,22877384,28484707
47,2013,전라북도,22463650,21462321
48,2013,제주특별자치도,7069619,3864639
49,2013,충청남도,24467927,44492419
50,2013,충청북도,18826826,21361912
51,2014,강원도,18499036,15794740
52,2014,경기도,147653535,102227064
53,2014,경상남도,40093856,33530620
54,2014,경상북도,32385019,45444250
55,2014,광주광역시,17700959,8274075
56,2014,대구광역시,29966122,15080053
57,2014,대전광역시,18418597,9225139
58,2014,부산광역시,42274932,20364701
59,2014,서울특별시,121535448,46555107
60,2014,세종특별자치시,1616925,2345528
61,2014,울산광역시,13936797,29992967
62,2014,인천광역시,34715943,22673440
63,2014,전라남도,22857235,30302072
64,2014,전라북도,22458529,21708660
65,2014,제주특별자치도,7210642,4094900
66,2014,충청남도,24676265,45466811
67,2014,충청북도,18913976,21665045
68,2015,강원도,18557287,15778145
69,2015,경기도,149291762,102180707
70,2015,경상남도,40284341,33435158
71,2015,경상북도,32391553,46016362
72,2015,광주광역시,17713700,8197276
73,2015,대구광역시,29890706,14858786
74,2015,대전광역시,18303109,9102524
75,2015,부산광역시,42198286,19980899
76,2015,서울특별시,120865523,45018864
77,2015,세종특별자치시,2253051,2437032
78,2015,울산광역시,14044655,30115123
79,2015,인천광역시,34986651,22578048
80,2015,전라남도,22847989,31722943
81,2015,전라북도,22437541,22297413
82,2015,제주특별자치도,7395096,4220090
83,2015,충청남도,24830053,47294961
84,2015,충청북도,18972419,22179260
85,2016,강원도,18587647,16206620
86,2016,경기도,151483993,105048002
87,2016,경상남도,40422117,33876325
88,2016,경상북도,32416044,44956835
89,2016,광주광역시,17662795,8333872
90,2016,대구광역시,29827793,14947708
91,2016,대전광역시,18196712,9182736
92,2016,부산광역시,42096376,20002306
93,2016,서울특별시,119776759,45381486
94,2016,세종특별자치시,2767676,2641141
95,2016,울산광역시,14076294,30286140
96,2016,인천광역시,35231052,23211767
97,2016,전라남도,22848371,32637828
98,2016,전라북도,22389179,22086859
99,2016,제주특별자치도,7612812,4429551
100,2016,충청남도,25038918,47286060
101,2016,충청북도,19046299,22949033
102,2017,강원도,18578155,16498769
103,2017,경기도,153553148,109403900
104,2017,경상남도,40497106,34497474
105,2017,경상북도,32316597,44647502
106,2017,광주광역시,17602580,8558369
107,2017,대구광역시,29768906,15268112
108,2017,대전광역시,18103357,9379632
109,2017,부산광역시,41827481,20467095
110,2017,서울특별시,118857535,46493234
111,2017,세종특별자치시,3157700,2801868
112,2017,울산광역시,14008655,32095217
113,2017,인천광역시,35359391,23875858
114,2017,전라남도,22773789,33096902
115,2017,전라북도,22293720,22733494
116,2017,제주특별자치도,7796426,4738201
117,2017,충청남도,25297963,48453932
118,2017,충청북도,19114237,24008865
119,2018,강원도,18537830,16552772
120,2018,경기도,155816083,114847859
121,2018,경상남도,40522563,34647863
122,2018,경상북도,32170673,45455611
123,2018,광주광역시,17538156,8683649
124,2018,대구광역시,29624218,15386374
125,2018,대전광역시,17941582,9423806
126,2018,부산광역시,41456706,21007360
127,2018,서울특별시,117723906,46298159
128,2018,세종특별자치시,3608487,2918759
129,2018,울산광역시,13914299,31609850
130,2018,인천광역시,35435438,24515313
131,2018,전라남도,22642431,33562077
132,2018,전라북도,22126394,22799646
133,2018,제주특별자치도,7962655,5013544
134,2018,충청남도,25465646,50180207
135,2018,충청북도,19153799,24843380
136,2019,강원도,18491064,16845627
137,2019,경기도,158010019,122695953
138,2019,경상남도,40403275,35158611
139,2019,경상북도,32027555,45958813
140,2019,광주광역시,17508236,8773812
141,2019,대구광역시,29395093,15675749
142,2019,대전광역시,17787945,9648828
143,2019,부산광역시,41117018,21216604
144,2019,서울특별시,117027908,47810212
145,2019,세종특별자치시,3949401,3087692
146,2019,울산광역시,13814008,33748169
147,2019,인천광역시,35480811,24921925
148,2019,전라남도,22445723,34118388
149,2019,전라북도,21914894,22961959
150,2019,제주특별자치도,8034688,5272603
151,2019,충청남도,25502440,52012704
152,2019,충청북도,19193056,26239764
153,2020,강원도,18483276,16368276
154,2020,경기도,160130213,123022306
155,2020,경상남도,40190380,34472017
156,2020,경상북도,31764555,44314767
157,2020,광주광역시,17453055,8603296
158,2020,대구광역시,29138950,15265583
159,2020,대전광역시,17639826,9415699
160,2020,부산광역시,40841043,20802409
161,2020,서울특별시,116536558,47167207
162,2020,세종특별자치시,4168569,3226180
163,2020,울산광역시,13699729,34138999
164,2020,인천광역시,35370992,24280688
165,2020,전라남도,22262776,32385388
166,2020,전라북도,21712692,22280691
167,2020,제주특별자치도,8064464,5374284
168,2020,충청남도,25443690,52644854
169,2020,충청북도,19180798,26732304
170,2021,강원도,18449823,16120066
171,2021,경기도,162115160,124688963
172,2021,경상남도,39902753,34069974
173,2021,경상북도,31584087,41001627
174,2021,광주광역시,17326611,8531109
175,2021,대구광역시,28791286,14758568
176,2021,대전광역시,17479896,9405219
177,2021,부산광역시,40391333,20503969
178,2021,서울특별시,114848517,45787925
179,2021,세종특별자치시,4370198,3393224
180,2021,울산광역시,13519359,33157837
181,2021,인천광역시,35286948,23638582
182,2021,전라남도,22087734,30973974
183,2021,전라북도,21529604,20538911
184,2021,제주특별자치도,8106314,5373287
185,2021,충청남도,25418563,50422733
186,2021,충청북도,19168094,26901893
187,2022,강원도,18459929,16808007
188,2022,경기도,162972975,133445949
189,2022,경상남도,39535047,35734060
190,2022,경상북도,31346040,44258296
191,2022,광주광역시,17226143,8973447
192,2022,대구광역시,28485955,15443948
193,2022,대전광역시,17381593,9748621
194,2022,부산광역시,40005131,21067832
195,2022,서울특별시,113754692,47295806
196,2022,세종특별자치시,4558695,4295362
197,2022,울산광역시,13381994,33593122
198,2022,인천광역시,35496636,24901194
199,2022,전라남도,21901654,33486887
200,2022,전라북도,21327284,21486859
201,2022,제주특별자치도,8135032,5687731
202,2022,충청남도,25444896,48801625
203,2022,충청북도,19158631,28402061
