,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,연도
2011.01,504,17046,4643,2841,2675,2906,2786,1063,0,1160,91,208,240,231,156,141,312,309,2011
2011.02,504,17048,4643,2841,2679,2910,2789,1063,0,1161,91,208,240,231,156,141,312,309,2011
2011.03,505,17037,4641,2840,2682,2910,2790,1064,0,1163,91,208,241,231,156,141,312,309,2011
2011.04,505,17027,4639,2840,2686,2911,2792,1065,0,1164,91,209,241,231,156,141,312,309,2011
2011.05,505,17017,4639,2840,2689,2913,2794,1065,0,1165,91,209,241,231,156,141,312,310,2011
2011.06,505,17005,4639,2839,2692,2913,2796,1066,0,1166,91,209,241,231,156,141,313,310,2011
2011.07,505,16995,4636,2839,2696,2916,2797,1067,0,1167,91,209,242,231,156,141,313,310,2011
2011.08,505,16987,4633,2839,2700,2919,2799,1067,0,1168,91,209,242,232,155,141,313,310,2011
2011.09,506,16978,4630,2838,2703,2921,2801,1068,0,1169,91,209,242,232,156,141,313,311,2011
2011.10,506,16968,4628,2838,2707,2922,2803,1069,0,1170,91,209,242,232,156,141,313,311,2011
2011.11,506,16954,4627,2838,2711,2923,2805,1070,0,1171,91,210,243,232,156,141,313,311,2011
2011.12,506,16941,4623,2836,2714,2921,2806,1071,0,1173,91,210,243,232,156,141,314,311,2011
2012.01,506,16942,4609,2837,2693,2924,2809,1072,0,1174,91,211,256,232,155,141,314,311,2012
2012.02,506,16944,4608,2837,2697,2927,2812,1072,0,1175,91,211,256,232,155,141,313,312,2012
2012.03,506,16935,4606,2836,2700,2927,2813,1073,0,1176,91,211,257,232,155,141,314,312,2012
2012.04,507,16927,4604,2836,2704,2927,2815,1075,0,1178,91,211,257,232,155,141,314,312,2012
2012.05,507,16920,4602,2835,2707,2927,2817,1076,0,1179,91,211,257,232,155,141,314,313,2012
2012.06,507,16912,4600,2835,2709,2926,2819,1076,0,1180,91,211,257,232,155,141,314,313,2012
2012.07,507,16905,4600,2835,2712,2928,2819,1076,221,1181,91,210,246,232,155,141,314,314,2012
2012.08,507,16897,4599,2836,2716,2930,2818,1077,229,1183,91,210,246,232,155,141,314,314,2012
2012.09,507,16891,4598,2836,2720,2931,2820,1078,232,1184,91,211,246,232,155,141,314,314,2012
2012.10,508,16880,4597,2836,2724,2933,2821,1080,236,1185,91,211,246,232,155,141,314,315,2012
2012.11,508,16869,4596,2837,2728,2935,2823,1081,239,1186,91,211,247,232,155,141,314,315,2012
2012.12,508,16851,4595,2834,2731,2932,2823,1082,243,1188,91,211,247,232,155,141,315,315,2012
2013.01,508,16851,4595,2836,2734,2934,2825,1083,244,1190,91,211,247,232,155,141,314,315,2013
2013.02,508,16853,4596,2836,2738,2936,2828,1083,247,1191,91,211,247,232,154,141,314,316,2013
2013.03,508,16846,4595,2836,2741,2936,2829,1085,249,1192,91,211,247,232,154,141,314,317,2013
2013.04,508,16836,4594,2836,2744,2936,2830,1085,250,1193,91,211,248,232,154,141,314,317,2013
2013.05,508,16829,4592,2837,2746,2937,2831,1086,251,1194,91,211,248,232,154,141,315,318,2013
2013.06,509,16820,4590,2835,2749,2937,2832,1086,251,1196,91,211,248,232,154,141,315,318,2013
2013.07,509,16813,4588,2835,2752,2938,2833,1087,252,1197,91,211,248,232,154,141,315,318,2013
2013.08,509,16808,4586,2835,2754,2939,2835,1088,253,1198,91,211,248,232,154,141,315,319,2013
2013.09,509,16804,4586,2835,2757,2940,2835,1089,254,1199,91,212,249,232,154,141,315,319,2013
2013.10,509,16796,4585,2835,2760,2941,2837,1089,255,1200,91,212,249,232,154,141,315,320,2013
2013.11,509,16783,4584,2834,2763,2941,2839,1090,256,1201,91,212,249,232,154,141,316,320,2013
2013.12,510,16766,4581,2833,2766,2939,2838,1091,262,1202,91,212,249,232,155,141,316,321,2013
2014.01,510,16765,4580,2830,2750,2941,2845,1090,266,1203,91,212,249,232,154,141,316,321,2014
2014.02,510,16767,4581,2828,2752,2940,2846,1091,270,1204,91,212,249,231,154,141,316,322,2014
2014.03,510,16763,4578,2829,2754,2939,2847,1091,272,1205,91,212,249,231,154,141,316,322,2014
2014.04,510,16755,4575,2827,2756,2937,2848,1092,275,1206,91,212,250,231,154,141,316,323,2014
2014.05,510,16749,4573,2826,2759,2941,2848,1093,278,1207,91,212,250,231,154,141,316,324,2014
2014.06,510,16742,4573,2826,2760,2943,2849,1094,281,1209,91,212,250,231,154,141,317,324,2014
2014.07,511,16737,4571,2825,2761,2945,2850,1094,283,1210,91,212,250,231,154,141,317,325,2014
2014.08,511,16734,4571,2824,2762,2947,2850,1095,289,1211,91,212,250,232,154,141,317,325,2014
2014.09,511,16731,4572,2818,2764,2949,2849,1096,297,1212,91,213,250,232,154,142,317,326,2014
2014.10,511,16723,4579,2820,2766,2949,2847,1096,306,1213,91,213,250,232,154,141,317,327,2014
2014.11,511,16714,4574,2821,2768,2950,2846,1099,318,1213,91,213,250,232,154,141,317,327,2014
2014.12,511,16699,4570,2820,2769,2945,2841,1099,335,1214,91,213,251,232,154,141,317,328,2014
2015.01,511,16701,4568,2819,2769,2947,2840,1100,347,1215,91,213,251,231,154,141,317,329,2015
2015.02,512,16702,4568,2819,2770,2948,2837,1100,365,1216,91,213,251,231,154,141,317,329,2015
2015.03,512,16695,4566,2818,2772,2949,2835,1101,376,1217,91,213,251,231,154,141,318,330,2015
2015.04,512,16685,4565,2818,2774,2949,2833,1102,384,1219,91,213,251,231,154,141,318,331,2015
2015.05,512,16675,4565,2818,2776,2948,2832,1102,391,1220,91,213,251,231,154,141,318,331,2015
2015.06,512,16659,4568,2818,2778,2948,2830,1102,398,1221,91,213,251,231,154,141,318,332,2015
2015.07,512,16647,4570,2817,2780,2947,2829,1102,407,1223,91,213,251,231,154,141,318,333,2015
2015.08,513,16633,4568,2817,2782,2946,2827,1103,417,1224,91,213,252,231,154,141,318,334,2015
2015.09,513,16619,4567,2817,2784,2945,2826,1103,425,1226,92,213,252,231,154,141,318,335,2015
2015.10,513,16603,4565,2816,2786,2943,2824,1105,434,1227,92,213,252,231,154,141,318,336,2015
2015.11,513,16587,4564,2815,2787,2943,2822,1106,443,1228,92,213,252,231,154,141,319,336,2015
2015.12,513,16565,4563,2814,2789,2938,2817,1106,453,1230,92,213,252,231,155,142,319,337,2015
2016.01,513,16559,4562,2814,2753,2939,2816,1106,463,1231,92,213,252,231,154,141,319,338,2016
2016.02,513,16552,4562,2812,2755,2938,2815,1105,473,1232,91,213,252,231,154,141,319,339,2016
2016.03,513,16544,4561,2812,2756,2937,2814,1105,480,1234,91,213,252,231,154,141,319,340,2016
2016.04,514,16533,4561,2811,2758,2937,2814,1105,484,1235,92,214,253,231,154,141,319,341,2016
2016.05,514,16521,4559,2811,2760,2938,2813,1105,490,1236,91,214,253,231,154,141,319,342,2016
2016.06,514,16512,4557,2810,2761,2938,2813,1105,495,1238,92,214,253,231,154,141,319,343,2016
2016.07,514,16498,4555,2810,2763,2939,2813,1105,499,1240,92,214,253,231,154,141,319,343,2016
2016.08,514,16481,4554,2811,2764,2938,2812,1105,504,1242,92,214,253,231,154,141,319,344,2016
2016.09,514,16469,4553,2811,2766,2938,2813,1105,507,1243,92,214,254,231,154,141,319,345,2016
2016.10,515,16454,4550,2811,2767,2937,2812,1105,512,1245,92,214,254,231,154,141,319,345,2016
2016.11,515,16435,4547,2811,2768,2936,2811,1105,517,1247,92,214,254,231,154,141,319,346,2016
2016.12,515,16414,4543,2810,2768,2932,2809,1104,522,1248,92,214,254,231,154,141,320,346,2016
2017.01,515,16414,4541,2810,2769,2933,2809,1104,526,1249,92,214,254,230,154,141,320,347,2017
2017.02,515,16415,4539,2810,2769,2931,2808,1102,532,1250,92,214,255,230,154,141,319,347,2017
2017.03,515,16408,4536,2809,2770,2929,2805,1101,540,1251,91,214,255,230,153,141,319,348,2017
2017.04,515,16401,4534,2808,2770,2928,2804,1101,546,1252,91,214,255,230,154,141,319,349,2017
2017.05,515,16395,4531,2808,2771,2927,2800,1100,557,1254,91,214,256,230,153,141,319,350,2017
2017.06,515,16387,4528,2807,2772,2927,2798,1100,565,1254,91,214,256,230,153,141,320,350,2017
2017.07,515,16377,4525,2807,2773,2926,2797,1099,572,1256,91,215,256,230,153,141,320,351,2017
2017.08,515,16367,4524,2805,2773,2927,2796,1098,578,1257,91,215,256,230,153,141,320,352,2017
2017.09,515,16349,4523,2803,2772,2927,2795,1098,583,1259,91,215,256,229,153,141,320,353,2017
2017.10,515,16335,4517,2802,2773,2927,2793,1098,589,1260,91,215,257,229,153,141,320,353,2017
2017.11,515,16314,4512,2801,2773,2926,2790,1098,595,1262,92,215,257,229,153,141,320,354,2017
2017.12,515,16293,4507,2800,2773,2921,2787,1098,602,1263,92,215,257,229,153,141,320,355,2017
2018.01,515,16283,4502,2798,2775,2922,2780,1096,609,1265,91,215,257,229,153,141,320,355,2018
2018.02,515,16273,4500,2798,2776,2920,2776,1095,619,1266,91,215,257,229,153,141,320,356,2018
2018.03,515,16262,4497,2796,2776,2918,2773,1094,626,1268,91,215,257,229,153,141,320,356,2018
2018.04,515,16248,4494,2795,2777,2916,2770,1093,634,1270,91,215,257,228,153,140,320,357,2018
2018.05,516,16233,4491,2794,2778,2915,2768,1092,640,1271,91,215,257,228,153,140,320,358,2018
2018.06,516,16221,4487,2793,2778,2915,2768,1091,645,1273,91,215,257,228,152,140,320,358,2018
2018.07,516,16209,4484,2792,2778,2916,2768,1091,650,1275,91,215,257,228,152,140,320,359,2018
2018.08,516,16196,4481,2791,2778,2917,2767,1090,657,1277,91,215,258,228,152,140,320,359,2018
2018.09,516,16186,4479,2790,2778,2917,2766,1089,662,1278,91,215,258,228,152,140,320,360,2018
2018.10,516,16172,4476,2788,2778,2917,2764,1089,667,1280,91,215,258,227,152,140,320,360,2018
2018.11,516,16155,4473,2787,2778,2916,2762,1088,671,1282,91,215,258,227,152,140,320,360,2018
2018.12,516,16141,4469,2784,2779,2912,2759,1088,675,1283,91,215,258,227,152,140,320,360,2018
2019.01,516,16142,4465,2783,2780,2913,2756,1087,681,1284,91,215,257,227,152,140,320,360,2019
2019.02,516,16149,4462,2780,2780,2912,2754,1086,688,1285,91,215,257,227,151,140,319,360,2019
2019.03,516,16149,4459,2778,2781,2912,2753,1085,693,1286,91,215,257,226,151,140,319,361,2019
2019.04,516,16143,4456,2776,2781,2912,2750,1085,697,1288,91,215,257,226,151,140,319,361,2019
2019.05,516,16135,4454,2774,2781,2912,2748,1084,700,1289,91,215,257,226,151,140,319,361,2019
2019.06,516,16127,4451,2772,2781,2912,2746,1084,704,1291,91,215,257,226,151,140,319,362,2019
2019.07,516,16118,4448,2769,2781,2913,2743,1083,710,1292,91,215,257,226,151,140,319,362,2019
2019.08,516,16107,4445,2767,2781,2913,2741,1083,714,1294,91,215,257,226,151,140,319,362,2019
2019.09,516,16099,4443,2766,2781,2913,2740,1082,717,1295,91,215,257,225,151,140,319,362,2019
2019.10,516,16093,4440,2764,2781,2912,2737,1082,723,1296,91,215,257,225,151,140,319,362,2019
2019.11,516,16086,4437,2761,2781,2912,2735,1081,728,1297,91,215,257,225,151,140,319,362,2019
2019.12,516,16081,4433,2757,2781,2907,2731,1080,732,1298,91,216,257,225,151,140,319,362,2019
2020.01,516,16088,4430,2759,2775,2907,2729,1080,736,1299,91,215,257,225,151,139,318,362,2020
2020.02,516,16094,4429,2755,2774,2906,2728,1078,739,1301,91,215,257,224,150,139,318,362,2020
2020.03,516,16088,4428,2756,2772,2905,2725,1077,741,1303,91,215,257,224,150,139,318,362,2020
2020.04,516,16077,4426,2753,2770,2906,2725,1077,742,1305,91,215,256,224,150,139,318,362,2020
2020.05,516,16073,4424,2750,2770,2905,2725,1076,742,1306,91,215,256,224,150,139,317,362,2020
2020.06,516,16067,4421,2749,2767,2904,2724,1075,742,1308,91,215,257,224,150,139,317,362,2020
2020.07,516,16058,4419,2749,2765,2903,2722,1074,744,1309,91,215,257,224,150,138,317,363,2020
2020.08,516,16046,4416,2749,2763,2902,2721,1073,746,1311,91,215,257,223,149,138,317,363,2020
2020.09,516,16031,4415,2748,2762,2902,2720,1072,748,1313,91,215,257,223,149,138,317,363,2020
2020.10,516,16015,4412,2745,2762,2900,2717,1072,754,1314,91,215,257,223,149,138,317,364,2020
2020.11,516,15999,4409,2742,2762,2898,2714,1070,760,1315,91,215,257,223,149,138,316,364,2020
2020.12,516,15980,4405,2738,2763,2894,2710,1069,765,1317,91,216,257,223,149,138,316,364,2020
2021.01,516,15963,4401,2732,2760,2892,2709,1069,769,1318,91,215,257,223,149,138,316,364,2021
2021.02,516,15948,4399,2729,2759,2890,2707,1066,773,1321,91,215,257,223,149,138,316,364,2021
2021.03,514,15865,4379,2724,2754,2885,2700,1063,775,1320,91,215,256,222,149,138,315,364,2021
2021.04,514,15849,4376,2722,2754,2883,2699,1062,777,1321,91,215,256,222,149,138,315,364,2021
2021.05,514,15827,4373,2718,2754,2880,2698,1061,778,1322,91,215,256,222,149,138,315,364,2021
2021.06,514,15811,4369,2712,2754,2879,2696,1060,780,1323,91,215,256,222,148,138,315,365,2021
2021.07,514,15798,4365,2710,2755,2879,2695,1060,783,1325,91,215,256,222,148,138,315,365,2021
2021.08,514,15785,4363,2707,2756,2878,2693,1058,785,1326,91,215,256,222,148,138,315,365,2021
2021.09,514,15772,4362,2706,2759,2879,2694,1057,788,1328,91,215,256,221,148,138,314,365,2021
2021.10,514,15756,4358,2704,2762,2879,2693,1057,791,1328,91,215,256,221,148,138,314,365,2021
2021.11,514,15736,4355,2701,2763,2878,2691,1056,794,1329,91,215,257,221,148,138,314,365,2021
2021.12,514,15718,4351,2698,2765,2877,2689,1056,799,1330,91,215,256,221,148,137,314,365,2021
2022.01,514,15712,4349,2696,2766,2877,2687,1055,805,1330,91,215,256,221,148,137,314,365,2022
2022.02,514,15716,4347,2693,2768,2874,2686,1054,809,1331,91,215,256,221,148,137,313,366,2022
2022.03,513,15713,4342,2692,2769,2871,2685,1052,811,1331,91,215,256,220,148,137,313,366,2022
2022.04,513,15703,4337,2690,2770,2868,2684,1051,813,1331,91,215,256,220,147,137,313,366,2022
2022.05,513,15697,4335,2688,2772,2866,2683,1051,815,1331,91,215,257,220,147,137,312,366,2022
2022.06,513,15693,4333,2686,2773,2865,2682,1050,817,1332,91,215,257,220,147,137,312,366,2022
2022.07,513,15691,4330,2685,2777,2863,2681,1049,819,1332,91,215,257,220,147,137,312,366,2022
2022.08,513,15683,4326,2683,2779,2863,2681,1048,820,1332,91,215,257,219,147,137,312,367,2022
2022.09,512,15621,4316,2678,2776,2859,2678,1047,821,1331,91,215,257,219,147,136,311,366,2022
2022.10,512,15609,4314,2677,2778,2859,2679,1046,822,1331,91,215,257,219,147,136,311,366,2022
2022.11,512,15598,4312,2676,2781,2858,2679,1046,823,1332,91,215,257,219,147,136,311,366,2022
2022.12,512,15584,4308,2673,2783,2856,2677,1045,824,1332,91,215,257,219,147,136,311,366,2022
