,연도,시도,의료인력수
0,2010,서울특별시,73801
1,2011,서울특별시,79291
2,2012,서울특별시,81426
3,2013,서울특별시,87638
4,2014,서울특별시,91252
5,2015,서울특별시,94274
6,2016,서울특별시,101142
7,2017,서울특별시,103941
8,2018,서울특별시,107232
9,2019,서울특별시,114861
10,2020,서울특별시,118497
11,2021,서울특별시,123955
12,2010,부산광역시,22037
13,2011,부산광역시,24389
14,2012,부산광역시,24861
15,2013,부산광역시,26768
16,2014,부산광역시,28399
17,2015,부산광역시,30226
18,2016,부산광역시,32387
19,2017,부산광역시,33393
20,2018,부산광역시,34495
21,2019,부산광역시,37028
22,2020,부산광역시,37898
23,2021,부산광역시,39169
24,2010,대구광역시,15594
25,2011,대구광역시,16706
26,2012,대구광역시,17045
27,2013,대구광역시,19098
28,2014,대구광역시,19629
29,2015,대구광역시,20556
30,2016,대구광역시,21902
31,2017,대구광역시,22450
32,2018,대구광역시,23401
33,2019,대구광역시,26087
34,2020,대구광역시,26608
35,2021,대구광역시,28205
36,2010,인천광역시,11787
37,2011,인천광역시,13058
38,2012,인천광역시,13444
39,2013,인천광역시,14531
40,2014,인천광역시,16072
41,2015,인천광역시,17454
42,2016,인천광역시,19308
43,2017,인천광역시,20765
44,2018,인천광역시,22173
45,2019,인천광역시,24081
46,2020,인천광역시,24983
47,2021,인천광역시,25754
48,2010,광주광역시,10258
49,2011,광주광역시,11637
50,2012,광주광역시,11737
51,2013,광주광역시,12315
52,2014,광주광역시,13368
53,2015,광주광역시,14227
54,2016,광주광역시,15161
55,2017,광주광역시,15880
56,2018,광주광역시,16467
57,2019,광주광역시,17835
58,2020,광주광역시,18117
59,2021,광주광역시,18414
60,2010,대전광역시,9896
61,2011,대전광역시,10608
62,2012,대전광역시,11000
63,2013,대전광역시,11619
64,2014,대전광역시,12042
65,2015,대전광역시,12555
66,2016,대전광역시,13482
67,2017,대전광역시,14064
68,2018,대전광역시,14586
69,2019,대전광역시,15746
70,2020,대전광역시,16095
71,2021,대전광역시,16628
72,2010,울산광역시,5195
73,2011,울산광역시,5743
74,2012,울산광역시,5817
75,2013,울산광역시,6483
76,2014,울산광역시,6882
77,2015,울산광역시,7201
78,2016,울산광역시,7915
79,2017,울산광역시,8150
80,2018,울산광역시,8218
81,2019,울산광역시,8950
82,2020,울산광역시,9205
83,2021,울산광역시,9531
84,2010,세종특별자치시,-
85,2011,세종특별자치시,-
86,2012,세종특별자치시,337
87,2013,세종특별자치시,377
88,2014,세종특별자치시,474
89,2015,세종특별자치시,589
90,2016,세종특별자치시,671
91,2017,세종특별자치시,843
92,2018,세종특별자치시,973
93,2019,세종특별자치시,1109
94,2020,세종특별자치시,1899
95,2021,세종특별자치시,2065
96,2010,경기도,50743
97,2011,경기도,57043
98,2012,경기도,58096
99,2013,경기도,61607
100,2014,경기도,66821
101,2015,경기도,70166
102,2016,경기도,77429
103,2017,경기도,81651
104,2018,경기도,86060
105,2019,경기도,91723
106,2020,경기도,98513
107,2021,경기도,103616
108,2010,강원도,8764
109,2011,강원도,9040
110,2012,강원도,9104
111,2013,강원도,9365
112,2014,강원도,9693
113,2015,강원도,10279
114,2016,강원도,10721
115,2017,강원도,11042
116,2018,강원도,11373
117,2019,강원도,12115
118,2020,강원도,12525
119,2021,강원도,13102
120,2010,충청북도,7163
121,2011,충청북도,7737
122,2012,충청북도,7795
123,2013,충청북도,8358
124,2014,충청북도,8635
125,2015,충청북도,9238
126,2016,충청북도,9667
127,2017,충청북도,10074
128,2018,충청북도,10654
129,2019,충청북도,11258
130,2020,충청북도,11446
131,2021,충청북도,11819
132,2010,충청남도,9354
133,2011,충청남도,10068
134,2012,충청남도,9872
135,2013,충청남도,10387
136,2014,충청남도,11020
137,2015,충청남도,11549
138,2016,충청남도,12275
139,2017,충청남도,12844
140,2018,충청남도,13168
141,2019,충청남도,14122
142,2020,충청남도,14417
143,2021,충청남도,15824
144,2010,전라북도,11152
145,2011,전라북도,12084
146,2012,전라북도,12147
147,2013,전라북도,12887
148,2014,전라북도,13476
149,2015,전라북도,14246
150,2016,전라북도,15147
151,2017,전라북도,15647
152,2018,전라북도,16297
153,2019,전라북도,16821
154,2020,전라북도,17277
155,2021,전라북도,17834
156,2010,전라남도,11366
157,2011,전라남도,12323
158,2012,전라남도,12418
159,2013,전라남도,12973
160,2014,전라남도,13713
161,2015,전라남도,14400
162,2016,전라남도,15045
163,2017,전라남도,15380
164,2018,전라남도,16040
165,2019,전라남도,16775
166,2020,전라남도,16872
167,2021,전라남도,17368
168,2010,경상북도,12861
169,2011,경상북도,13936
170,2012,경상북도,14066
171,2013,경상북도,14883
172,2014,경상북도,15552
173,2015,경상북도,16019
174,2016,경상북도,17160
175,2017,경상북도,17851
176,2018,경상북도,18267
177,2019,경상북도,19165
178,2020,경상북도,19271
179,2021,경상북도,19840
180,2010,경상남도,15323
181,2011,경상남도,17360
182,2012,경상남도,17995
183,2013,경상남도,19226
184,2014,경상남도,20191
185,2015,경상남도,21409
186,2016,경상남도,24002
187,2017,경상남도,25142
188,2018,경상남도,26074
189,2019,경상남도,27744
190,2020,경상남도,28757
191,2021,경상남도,29444
192,2010,제주특별자치도,3495
193,2011,제주특별자치도,3682
194,2012,제주특별자치도,3604
195,2013,제주특별자치도,4145
196,2014,제주특별자치도,4331
197,2015,제주특별자치도,4566
198,2016,제주특별자치도,4809
199,2017,제주특별자치도,5079
200,2018,제주특별자치도,5317
201,2019,제주특별자치도,5575
202,2020,제주특별자치도,5706
203,2021,제주특별자치도,5984
