시도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
강원도,12840719046,12302733938,11449190251,10964718135,10063998457,9776504769,9962808588,10640961225,10096890486,9934154283,10979729401,12228290217
경기도,86603210405,82882324990,77411321682,74372031380,70508201326,72961718404,77854855524,84580266201,77971089647,71298494511,75574312926,83708255436
경상남도,26304118559,25052025513,23791850144,22774421652,20946722049,21296158071,22521373376,23375442240,22356446320,20794530265,22229630169,24579931314
경상북도,32495637242,30226075516,30410859891,29506176626,28592594237,28816592293,28759121803,30149617395,29123978164,28388909486,29249960913,31066293684
광주광역시,6229481502,6045763397,5580768143,5479665732,5092666849,5412871070,5898585896,6499927560,5983179154,5209875883,5406880334,5847475522
대구광역시,11272371965,10822969984,9919036695,9730039442,9132886823,9639067598,10299034524,11229536166,10314579709,9138988155,9624390867,10541266632
대전광역시,6970851365,6696096885,6179022349,5946478483,5618555191,5977707016,6447577687,7152891538,6434487816,5678260415,5796302247,6445147873
부산광역시,14890049079,14309800672,13443070513,13292893034,12528756256,12980814754,13953654782,15413006471,14405581358,12825921200,13056408462,14030371290
서울특별시,34237649818,33126151695,28983392327,27877418010,26682199859,29432964197,33334626566,38171676882,33069728106,27331733029,27711464369,31481867581
세종특별자치시,2159731259,2042213247,2006853270,1936599047,1837102526,1920265495,2033776277,2122823151,2034332799,1889900624,2012645664,2807935889
울산광역시,22295209472,20400230356,21634052094,20942639619,21183391381,20917142565,22298149192,22622007883,22009127383,21474972379,20849518275,22232084059
인천광역시,17609497469,16424363684,15996092736,15358076926,14732958794,15260894260,16283720266,17462506160,15919024179,14701886574,15362438525,16901311595
전라남도,23172147528,21698478018,22157717419,22309554331,21406135458,20332755244,21252232595,22761674444,22292065831,21289456433,20873276064,22549877207
전라북도,16555977753,15566112676,15253529173,14656762951,14001779886,13774950682,14062479937,14923602566,14614974514,13826267983,14528081383,15504607052
제주특별자치도,3691763539,3737591157,3344773853,3353655347,3055425546,3033426365,3238395379,3791808997,3436999117,2987253938,3072572842,3380873457
충청남도,35652001365,33294278583,33771199391,32170920891,31576644614,31603588014,33351887584,34288890232,32389452452,31277882484,33145635202,34746117632
충청북도,18286947918,17330680068,17076491386,16579721283,15824554992,15969944089,16805815702,17316550110,16411386231,15780848474,16810518240,18146025845
