,시도,연도,지방세
0,서울특별시,2010,12074840
1,부산광역시,2010,3062239
2,대구광역시,2010,1818648
3,인천광역시,2010,2428823
4,광주광역시,2010,1077114
5,대전광역시,2010,1162679
6,울산광역시,2010,1230508
7,세종특별자치시,2010,0
8,경기도,2010,12876723
9,강원도,2010,1222509
10,충청북도,2010,1310314
11,충청남도,2010,2097037
12,전라북도,2010,1287562
13,전라남도,2010,1434292
14,경상북도,2010,2220366
15,경상남도,2010,3334664
16,제주특별자치도,2010,521487
17,서울특별시,2011,12913964
18,부산광역시,2011,3352687
19,대구광역시,2011,1924374
20,인천광역시,2011,2790176
21,광주광역시,2011,1137184
22,대전광역시,2011,1332664
23,울산광역시,2011,1375029
24,세종특별자치시,2011,0
25,경기도,2011,12957501
26,강원도,2011,1272268
27,충청북도,2011,1371252
28,충청남도,2011,2297542
29,전라북도,2011,1407180
30,전라남도,2011,1580286
31,경상북도,2011,2397531
32,경상남도,2011,3609075
33,제주특별자치도,2011,581431
34,서울특별시,2012,13436966
35,부산광역시,2012,3386162
36,대구광역시,2012,2073421
37,인천광역시,2012,2754954
38,광주광역시,2012,1202985
39,대전광역시,2012,1320566
40,울산광역시,2012,1493288
41,세종특별자치시,2012,119099
42,경기도,2012,13288767
43,강원도,2012,1344637
44,충청북도,2012,1443528
45,충청남도,2012,2307243
46,전라북도,2012,1456057
47,전라남도,2012,1622293
48,경상북도,2012,2499249
49,경상남도,2012,3504746
50,제주특별자치도,2012,684103
51,서울특별시,2013,12980600
52,부산광역시,2013,3401445
53,대구광역시,2013,2148115
54,인천광역시,2013,2855673
55,광주광역시,2013,1220622
56,대전광역시,2013,1258482
57,울산광역시,2013,1413522
58,세종특별자치시,2013,216598
59,경기도,2013,13301235
60,강원도,2013,1330566
61,충청북도,2013,1431512
62,충청남도,2013,2226001
63,전라북도,2013,1457454
64,전라남도,2013,1599464
65,경상북도,2013,2563701
66,경상남도,2013,3605279
67,제주특별자치도,2013,768612
68,서울특별시,2014,14502519
69,부산광역시,2014,3973205
70,대구광역시,2014,2591818
71,인천광역시,2014,3220968
72,광주광역시,2014,1428496
73,대전광역시,2014,1549395
74,울산광역시,2014,1611003
75,세종특별자치시,2014,386816
76,경기도,2014,15216198
77,강원도,2014,1473843
78,충청북도,2014,1684169
79,충청남도,2014,2624962
80,전라북도,2014,1641746
81,전라남도,2014,1751096
82,경상북도,2014,2963881
83,경상남도,2014,4195428
84,제주특별자치도,2014,909470
85,서울특별시,2015,17038835
86,부산광역시,2015,4784818
87,대구광역시,2015,2862891
88,인천광역시,2015,3727717
89,광주광역시,2015,1553789
90,대전광역시,2015,1626744
91,울산광역시,2015,1760321
92,세종특별자치시,2015,512028
93,경기도,2015,17885557
94,강원도,2015,1594058
95,충청북도,2015,1884993
96,충청남도,2015,2836473
97,전라북도,2015,1796926
98,전라남도,2015,2002617
99,경상북도,2015,3450733
100,경상남도,2015,4535227
101,제주특별자치도,2015,1124068
102,서울특별시,2016,18024176
103,부산광역시,2016,4625095
104,대구광역시,2016,2979772
105,인천광역시,2016,4028661
106,광주광역시,2016,1678987
107,대전광역시,2016,1683926
108,울산광역시,2016,1945369
109,세종특별자치시,2016,499626
110,경기도,2016,19245126
111,강원도,2016,1859620
112,충청북도,2016,2020649
113,충청남도,2016,3120102
114,전라북도,2016,1896033
115,전라남도,2016,2243786
116,경상북도,2016,3567765
117,경상남도,2016,4736834
118,제주특별자치도,2016,1376124
119,서울특별시,2017,19296437
120,부산광역시,2017,4947208
121,대구광역시,2017,3156682
122,인천광역시,2017,4427782
123,광주광역시,2017,1710868
124,대전광역시,2017,1713620
125,울산광역시,2017,1983863
126,세종특별자치시,2017,665142
127,경기도,2017,20710614
128,강원도,2017,1944969
129,충청북도,2017,2106205
130,충청남도,2017,3433932
131,전라북도,2017,2005960
132,전라남도,2017,2319014
133,경상북도,2017,3719931
134,경상남도,2017,4818215
135,제주특별자치도,2017,1448695
136,서울특별시,2018,20695311
137,부산광역시,2018,4935112
138,대구광역시,2018,3227882
139,인천광역시,2018,4465821
140,광주광역시,2018,1845600
141,대전광역시,2018,1735655
142,울산광역시,2018,1946957
143,세종특별자치시,2018,670652
144,경기도,2018,22807183
145,강원도,2018,2057307
146,충청북도,2018,2281543
147,충청남도,2018,3507758
148,전라북도,2018,2039943
149,전라남도,2018,2392217
150,경상북도,2018,3634277
151,경상남도,2018,4616070
152,제주특별자치도,2018,1458970
153,서울특별시,2019,22268213
154,부산광역시,2019,5191892
155,대구광역시,2019,3476077
156,인천광역시,2019,4809476
157,광주광역시,2019,2027885
158,대전광역시,2019,1991017
159,울산광역시,2019,2040650
160,세종특별자치시,2019,666939
161,경기도,2019,24138048
162,강원도,2019,2168668
163,충청북도,2019,2573152
164,충청남도,2019,3560335
165,전라북도,2019,2292195
166,전라남도,2019,2714787
167,경상북도,2019,3922794
168,경상남도,2019,5098712
169,제주특별자치도,2019,1519568
170,서울특별시,2020,25531987
171,부산광역시,2020,6199573
172,대구광역시,2020,3959389
173,인천광역시,2020,5187705
174,광주광역시,2020,2267962
175,대전광역시,2020,2252393
176,울산광역시,2020,2093867
177,세종특별자치시,2020,795242
178,경기도,2020,25801039
179,강원도,2020,2653723
180,충청북도,2020,2770501
181,충청남도,2020,4125636
182,전라북도,2020,2921771
183,전라남도,2020,3564716
184,경상북도,2020,4589594
185,경상남도,2020,5731861
186,제주특별자치도,2020,1601823
187,서울특별시,2021,28382503
188,부산광역시,2021,6468033
189,대구광역시,2021,4246517
190,인천광역시,2021,5923870
191,광주광역시,2021,2392719
192,대전광역시,2021,2511095
193,울산광역시,2021,2216360
194,세종특별자치시,2021,877116
195,경기도,2021,29735913
196,강원도,2021,2875409
197,충청북도,2021,3149318
198,충청남도,2021,4595115
199,전라북도,2021,3063559
200,전라남도,2021,3730749
201,경상북도,2021,4898316
202,경상남도,2021,6046173
203,제주특별자치도,2021,1685665
